200101;ABRAZADERA;REPUESTO
200102;ACEITE P/CAJA DE DIRECCION;REPUESTO
200103;ACEITE P/MOTOR;REPUESTO
200104;ACEITE P/ CAJA  AUTOMATICA;REPUESTO
200105;ACEITE P/ CAJA MECANICA;REPUESTO
200106;ACEITE P/ CAJA ROBOTICA;REPUESTO
200107;ACEITE P/ CORONA;REPUESTO
200108;ACEITE P/ ROSTER;REPUESTO
200109;ADITIVO;REPUESTO
200110;AFLOJA PERNO;REPUESTO
200111;AGUA DESTILADA;REPUESTO
200112;AGUA REFRIGERANTE  ROJA;REPUESTO
200113;AGUA REFRIGERANTE VERDE;REPUESTO
200114;ALTERNADOR;REPUESTO
200115;AMORTIGUADOR DE DIRECCION;REPUESTO
200116;AMORTIGUADOR DELANTERO;REPUESTO
200117;AMORTIGUADOR TRASERO;REPUESTO
200118;ANILLA DE MORDAZA;REPUESTO
200119;ANILLA PISTON DE MOTOR JGO.;REPUESTO
200120;ARANDELA SATELITE;REPUESTO
200121;ARRANQUE COMPLETO;REPUESTO
200122;ASPA DE VENTILADORA;REPUESTO
200123;AUTOMATICO DE ARRANQUE;REPUESTO
200124;AXIALES DE CIGÜEÑAL;REPUESTO
200125;ARANDELA DE SUPLEMENTO DE CORONA;REPUESTO
200126;ACOPLE O UNION DE CONDUCTO;REPUESTO
200127;ALEMITA;REPUESTO
200128;AMORTIGUADOR;REPUESTO
200129;AGARRADOR;REPUESTO
200130;ACEITE;REPUESTO
200131;ASIENTO DE VALVULA DE ESCAPE;REPUESTO
200132;ARANDELA;REPUESTO
200201;BALATAS  DE FRENO TRASERO;REPUESTO
200202;BALATAS DE FRENO DELANTERO;REPUESTO
200203;BANDEJA O TIJERAL;REPUESTO
200204;BARRA CENTRAL DE DIRECCION;REPUESTO
200205;BARRA DE TORCION;REPUESTO
200206;BASE DE AMORTIGUADOR;REPUESTO
200207;BENDIX DE ARANQUE;REPUESTO
200208;BOBINA DE ENSENDIDO;REPUESTO
200209;BOCINA;REPUESTO
200210;BOMBA AUXILIAR EMBRAGUE;REPUESTO
200211;BOMBA DE ACEITE;REPUESTO
200212;BOMBA DE AGUA;REPUESTO
200213;BOMBA DE FRENO;REPUESTO
200214;BOMBA DE GASOLINA;REPUESTO
200215;BOMBA HIDRAULICA;REPUESTO
200216;BOMBA MAESTRA DE EMBRAGUE;REPUESTO
200217;BOMBIN DE DIESEL;REPUESTO
200218;BORNE DE BATERIA;REPUESTO
200219;BOTON;REPUESTO
200220;BOTON LEVANTA VIDRIO;REPUESTO
200221;BOTON LEVANTA VIDRIO;REPUESTO
200222;BRAZO ANCLA;REPUESTO
200223;BRAZO AXIAL DE CREMALLERA;REPUESTO
200224;BRAZO PITMAN;REPUESTO
200225;BUJE;REPUESTO
200226;BUJE BARRA TENSORA;REPUESTO
200227;BUJE DE BANDEJA SUPERIOR;REPUESTO
200228;BUJE DE BARRA ESTABILIZADORA;REPUESTO
200229;BUJE DE BRONCE;REPUESTO
200230;BUJE DE GOMA;REPUESTO
200301;CABLE DE BUJIA ( JGO );REPUESTO
200302;CABLE P/ INSTALACION ELECTRICA;REPUESTO
200303;CADENA DE DISTRIBUCION;REPUESTO
200304;CADENA DE ROSTER;REPUESTO
200305;CADENILLA DE DISTRIBUCION KIT;REPUESTO
200306;CAMISAS DE MOTOR JGO.;REPUESTO
200307;CAÑERIA DE FRENO;REPUESTO
200308;CAPUCHON DE CREMALLERA;REPUESTO
200309;CAPUCHON DE JUNTA;REPUESTO
200310;CAPUCHON DE TRICETA;REPUESTO
200311;CAPUCHONES;REPUESTO
200312;CARBONES (JGO);REPUESTO
200313;CHICLER DE CARBURADOR;REPUESTO
200314;CHICOTILLO;REPUESTO
200315;CHICOTILLO DE ACELERADOR;REPUESTO
200316;CHICOTILLO DE EMBRAGUE;REPUESTO
200317;CILINDRO DE FRENO;REPUESTO
200318;CINTA AISLANTE;REPUESTO
200319;CINTILLO;REPUESTO
200320;COJINETE DE BANCADA JGO.;REPUESTO
200321;COJINETE DE BIELA JGO.;REPUESTO
200322;CONDENSADOR;REPUESTO
200323;CONECTOR DE CABLE;REPUESTO
200324;CONJ. ROD-BBA EMBRAGUE;REPUESTO
200325;CORREA DE DISTRIBUCION;REPUESTO
200326;CORREA EXTERNA;REPUESTO
200327;CREMALLERA DE DIRECCION;REPUESTO
200328;CRUCETA;REPUESTO
200329;CUBETA DE FRENO;REPUESTO
200330;CUBETAS KIT;REPUESTO
200331;CAPUCHON DE CILINDRO;REPUESTO
200332;CONDUCTO DE AGUA;REPUESTO
200333;CAPUCHON DE HIDROVAG;REPUESTO
200334;CAPUCHON DE BOBINA;REPUESTO
200401;DIAFRAGMA;REPUESTO
200402;DISCO DE EMBRAGUE;REPUESTO
200403;DISCO DE FRENO;REPUESTO
200404;DEPOSITO DE AGUA DE RADIADOR;REPUESTO
200405;DEPOSITO DE AGUA DE LIMPIA PARABRISA;REPUESTO
200406;DIAFRAGMA DE PULMON DELANTERO;REPUESTO
200407;DIAFRAGMA DE PULMON TRASERO;REPUESTO
200408;DEPOSITO;REPUESTO
200501;ELECTROVENTILADORA;REPUESTO
200502;EMBOLO DE ARRANQUE;REPUESTO
200503;EMBRAGUE DE VENTILADORA;REPUESTO
200504;EMPAQ. CULATA;REPUESTO
200505;EMPAQ. TAPA VALANCIN;REPUESTO
200506;EMPAQUETADURA;REPUESTO
200507;ENCHUFE;REPUESTO
200508;ESCOBILLA LIMPIA PARABRISA;REPUESTO
200509;ESPIGA DE CARDAN;REPUESTO
200510;ESPIRAL;REPUESTO
200511;EMPAQUETADURA DE CAÑO DE ESCAPE;REPUESTO
200512;EMPAQUTADURA DE MOTOR JGO.;REPUESTO
200513;ESPEJO REPROVISOR;REPUESTO
200514;ECU MODULO DE CONTROL ELECTRONICO;REPUESTO
200515;ENGRANAJE;REPUESTO
200516;EMPAQUETADURA DE ADMISION;REPUESTO
200517;ELEMENTO DE TOBERA;REPUESTO
200518;EMPAQUETADURA DE CARTER;REPUESTO
200519;EMPAQUETADURA DE MULTIPLE DE ESCAPE;REPUESTO
102024;EJE CENTRAL DE CAJA DE DIRECCION;REPUESTO
200601;FILTRO AIRE DE MOTOR;REPUESTO
200602;FILTRO DE A/C;REPUESTO
200603;FILTRO DE ACEITE;REPUESTO
200604;FILTRO DE CAJA AUTOMATICA;REPUESTO
200605;FILTRO DE DIESEL;REPUESTO
200606;FILTRO DE GASOLINA EXTERNO;REPUESTO
200607;FILTRO DE INYECTOR;REPUESTO
200608;FOCO;REPUESTO
200609;FUSIBLE;REPUESTO
200610;FILTRO DE BOMBA DE GASOLINA;REPUESTO
200611;FAROL;REPUESTO
200612;FORRO DE VOLANTE;REPUESTO
200613;FORRO DE ASIENTO;REPUESTO
200614;FILTRO DE CONDENSADOR;REPUESTO
200615;FILTRO SUMERGIBLE DE BOMBA DE GASOLINA;REPUESTO
200616;FLOTADOR DE COMBUSTIBLE;REPUESTO
200701;GOTITA;REPUESTO
200702;GRASA GRAFITADA;REPUESTO
200703;GRASA P/RODAMIENTO;REPUESTO
200704;GATO DE VEHICULO;REPUESTO
200705;GASKET;REPUESTO
200706;GUIA DE CADENILLA DE DISTRIBUIDOR;REPUESTO
200707;GUIA O ASIENTO DE CULATA;REPUESTO
200708;ERROR;REPUESTO
200709;GRASA P/CREMALLERA;REPUESTO
200710;GUIA DE VALVULA JGO.;REPUESTO
200711;GUIÑADORES;REPUESTO
200712;GOMA DE MARCO DE PUERTA;REPUESTO
200713;GARGANTA;REPUESTO
200714;GUARDAPOLVO;REPUESTO
200715;GRASA ALQUITRANADA;REPUESTO
200716;GRAMPA DE MUELLE;REPUESTO
200801;HALOGENOS;REPUESTO
200802;HIDROVAG;REPUESTO
200803;HERRRAMIENTA;REPUESTO
200901;INTERMITENTE;REPUESTO
200902;INYECTOR DE DIESEL;REPUESTO
200903;INYECTOR DE GASOLINA;REPUESTO
201001;JUNTA HOMOCINETICA;REPUESTO
201002;JALADOR DE PUERTA;REPUESTO
201003;JUEGO DE PISOS;REPUESTO
201004;JALADOR DE PUERTA CORREDIZA;REPUESTO
201101;KIT DE DISTRIBUCION;REPUESTO
201102;KIT DE EMBRAGUE;REPUESTO
201103;KIT DE MORDAZA;REPUESTO
201104;KIT DE RETEN DE MACERO O BOLA;REPUESTO
201105;KIT DE RETENES HIDRAULICOS;REPUESTO
201106;KIT DE PUNTA EJE;REPUESTO
201107;KIT REPARO DE CAJA DE DIRECCION;REPUESTO
201108;KIT RETENES Y ORING DE INYECTOR;REPUESTO
201109;KIT DE SATELITES Y PLANETARIOS;REPUESTO
201201;LAINA ACERADA;REPUESTO
201202;LIQUIDO ELEVADOR DE OCTANAGE;REPUESTO
201203;LIMPIA CATALIZADOR;REPUESTO
201204;LIMPIADOR DE PARTES ELECTRICAS;REPUESTO
201205;LIMPIA INYECTORES;REPUESTO
201206;LIMPIADOR SISTEMA DE REFRIGERACION;REPUESTO
201207;LIQUIDO DE FRENO;REPUESTO
201208;LIQUIDO HIDRAULICO;REPUESTO
201209;LLAVE CRUZ;REPUESTO
201210;LAINA;REPUESTO
201211;LIQUIDO P/LIMPIA PARABRISA;REPUESTO
201212;LIQUIDO POWER STERING;REPUESTO
201213;LIJA;REPUESTO
201214;LUCES LED;REPUESTO
201215;LIQUIDO P/LIMPIEZA DE VALVULA;REPUESTO
201301;MACERO DE RUEDA;REPUESTO
201302;MANGUERA DE AIRE;REPUESTO
201303;MANGUERA DE COMBUSTIBLE Y/O ACEITE;REPUESTO
201304;MANGUERA DE FERNO;REPUESTO
201305;MANGUERA DE PRESION DE ACEITE;REPUESTO
201306;MOTOR DE LEVANTA VIDRIO;REPUESTO
201307;MOTOR DE VENTILADORA;REPUESTO
201308;MANGUERA CORRUGADA;REPUESTO
201309;MANGUERA DE RADIADOR;REPUESTO
201310;MALLA VIBRADORA DE CAÑO DE ESCAPE;REPUESTO
201401;NIPLE;REPUESTO
201402;NEUTRALIZADOR;REPUESTO
201403;NIDO DE CORONA;REPUESTO
201501;ORING;REPUESTO
201502;ORING DE INYECTOR;REPUESTO
201503;ORING DE COMPRESOR;REPUESTO
201504;OJAL P/NIPLE;REPUESTO
201601;PALIER;REPUESTO
201602;PASTILLAS DE FRENO DELANTERA;REPUESTO
201603;PASTILLAS DE FRENO TRASERA;REPUESTO
201604;PERMATEC 3M;REPUESTO
201605;PERNO;REPUESTO
201606;PISTON DE BBA. ALIMENTADORA;REPUESTO
201607;PISTON DE MOTOR JGO.;REPUESTO
201608;PLATINO DE DISTRIBUIDOR;REPUESTO
201609;POLEA EXTERNA;REPUESTO
201610;PORTA CARBONES;REPUESTO
201611;PORTA FUSIBLE;REPUESTO
201612;POXILINA;REPUESTO
201613;POXIPOL;REPUESTO
201614;PRENSA DE EMBRAGUE;REPUESTO
201615;PRECINTO DE CAPUCHON;REPUESTO
201616;PERNO DE CARDAN;REPUESTO
201617;PERNO DE MORDAZA;REPUESTO
201618;PISTON DE MORDAZA;REPUESTO
201619;PEGAMENTO;REPUESTO
201620;PORTA MACERO DE RUEDA;REPUESTO
201701;RADIADOR DE AIRE ACONDICIONADO;REPUESTO
201702;RADIADOR DE MOTOR;REPUESTO
201703;REGULADOR DE VOLTAJE;REPUESTO
201704;RELAY;REPUESTO
201705;REPARO BBA. AUXILIAR DE EMBRAGUE;REPUESTO
201706;REPARO BBA. MAESTRA DE EMBRAGUE;REPUESTO
201707;REPARO DE BOMBA ALIMENTADORA;REPUESTO
201708;REPARO DE BOMBA DE FRENO;REPUESTO
201709;RESORTE;REPUESTO
201710;RETEN;REPUESTO
201711;RETEN DE ARBOL DE LEVA;REPUESTO
201712;RETEN DE CAJA;REPUESTO
201713;RETEN DE CIGÜEÑAL DELANTERO;REPUESTO
201714;RETEN DE INYECTOR;REPUESTO
201715;RETEN DE PALIER;REPUESTO
201716;RETEN DE ROSTER;REPUESTO
201717;RETEN DE RUEDA TRASERA;REPUESTO
201718;RETENHIDRAULICO;REPUESTO
201719;RETENES VALVULA JGO.;REPUESTO
201720;RODAMIENTO;REPUESTO
201721;RODAMIENTO DE RUEDA DELANTERA;REPUESTO
201722;RODAMIENTO DESPLAZADOR;REPUESTO
201723;RODAMIENTO GUIADOR;REPUESTO
201724;RODAMIENTO TESADOR;REPUESTO
P319;RODAMIENTO ALTERNADOR;REPUESTO
P320;RODAMIENTO DE POLEA;REPUESTO
201725;ROTOR;REPUESTO
201726;ROTULA DE SUSPENSION SUPERIOR;REPUESTO
201727;RODAMIENTO CENTRAL DE CARDAN;REPUESTO
201728;RETEN BBA DE ACEITE;REPUESTO
201729;RETEN TAPA BALANCIN;REPUESTO
201730;RODAMIENTO C/BOMBA DE EMBRAGUE;REPUESTO
201801;SANGRADOR;REPUESTO
201802;SEGURO DE CHICOTILLO;REPUESTO
201803;SEGURO DE FRENO;REPUESTO
201804;SEGURO DE PATIN DE FRENO;REPUESTO
201805;SEGURO EXTERNO;REPUESTO
201806;SELENOIDE CUERPO DE VALVULA;REPUESTO
201807;SELENOIDE VE;REPUESTO
201808;SELLO DE ESCAPE;REPUESTO
201809;SELLO DE VALVULA DE PVC;REPUESTO
201810;SELLOS;REPUESTO
201811;SENSOR DE ABS;REPUESTO
201812;SENSOR DE ACEITE;REPUESTO
201813;SENSOR DE ARBOL DE LEVA;REPUESTO
201814;SENSOR DE CIGÜEÑAL;REPUESTO
201815;SENSOR DE OXIGENO;REPUESTO
201816;SENSOR O SWITCH DE TEMPERATURA;REPUESTO
201817;SILICONA;REPUESTO
201818;SINFÍN;REPUESTO
201819;SOPORTE DE CAJA;REPUESTO
201820;SOPORTE DE MOTOR;REPUESTO
201821;SUPLE DE BUJIA;REPUESTO
201822;SWITCH DE ACEITE;REPUESTO
201823;SWITCH DE FRENO;REPUESTO
201824;SWITCH DE RETRO;REPUESTO
201825;SEGURO INTERNO;REPUESTO
201901;T DE FRENO;REPUESTO
201902;T DE MANGUERA;REPUESTO
201903;TACO ALUMINIO;REPUESTO
201904;TAMBORES DE FRENO;REPUESTO
201905;TAPA DE CULATA;REPUESTO
201906;TAPA DE RADIADOR;REPUESTO
201907;TAPA DISTRIBUIDOR;REPUESTO
201908;TAPON DE CARTER;REPUESTO
